text,image
제티,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/je_ti_500_1.jpg
조금,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/jo_geum_001_1.png
조금,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/jo_geum_002_1.png
차,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/ca_.png
커피,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/keo_pi_001_.png
커피,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/keo_pi_002_.png
컵,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/keob_.png
콜라,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/kol_ra_001_.png
콜라,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/kol_ra_002_.png
콜라,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/kol_ra_201_.png
콜라,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/kol_ra_500_1.jpg
타요,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/ta_yo_001_.png
타요,http://220.69.171.28:8080/Symbol/Symbol/n2_eum_sig_/n2_eum_ryo_/ta_yo_002_.png
