text,image,카테고리_주제,카테고리_품사
갈아주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gal_a_ju_se_yo_002_2.png,집,동사
걸어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/geol_eo_yo_001_.png,집,동사
골라요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gol_ra_yo_001_.png,집,동사
골라요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gol_ra_yo_002_.png,집,동사
구멍났어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/gu_meong_nass_eo_yo_.png,집,동사
끼워주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ggi_weo_ju_se_yo_001_.png,집,동사
끼워주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ggi_weo_ju_se_yo_002_.png,집,동사
맞아요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/maj_a_yo_2.png,집,동사
묶어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/mugg_eo_yo_.png,집,동사
묶어주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/mugg_eo_ju_se_yo_001_.png,집,동사
묶어주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/mugg_eo_ju_se_yo_002_.png,집,동사
벗을래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/beos_eul_rae_yo_001_.png,집,동사
벗을래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/beos_eul_rae_yo_002_.png,집,동사
빨아요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/bbal_a_yo_2.png,집,동사
신발끈을묶어주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/sin_bal_ggeun_eul_mugg_eo_ju_se_yo_201_.png,집,동사
어울려요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/eo_ul_ryeo_yo_.png,집,동사
올려주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ol_ryeo_ju_se_yo_1.png,집,동사
옷을-벗어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/os_eul_beos_eo_yo_.png,집,동사
옷을-입어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/os_eul_ib_eo_yo_.png,집,동사
입어요,http://220.69.171.28:8080/Symbol/Symbol/additional/ib_eo_yo_201_.png,집,동사
입어요,http://220.69.171.28:8080/Symbol/Symbol/additional/ib_eo_yo_001_.png,집,동사
입을래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ib_eul_rae_yo_.png,집,동사
풀어주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/pul_eo_ju_se_yo_.png,집,동사
헐렁해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/heol_reong_hae_yo_.png,집,동사
가꿔요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/ga_ggweo_yo_.png,집,동사
그만볼래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/geu_man_bol_rae_yo_.png,집,동사
그만할래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/geu_man_hal_rae_yo_001_.png,집,동사
그만할래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/geu_man_hal_rae_yo_002_.png,집,동사
깜깜해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/ggam_ggam_hae_yo_.png,집,동사
나가요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/na_ga_yo_.png,집,동사
넣을래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/neoh_eul_rae_yo_.png,집,동사
눈부셔요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/nun_bu_syeo_yo_.png,집,동사
다시할래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/da_si_hal_rae_yo_.png,집,동사
닫아주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/dad_a_ju_se_yo_001_1.png,집,동사
