text,image,카테고리_주제,카테고리_품사,실체,필요성분,명사구분,동사구분
교감선생님,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/gyo_gam_seon_saeng_nim_.png,학교,명사,2,0,0,0
교무실,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/gyo_mu_sil_.png,학교,명사,2,0,0,0
교문,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/gyo_mun_.png,학교,명사,2,0,0,0
교실,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/gyo_sil_.png,학교,명사,2,0,0,0
교장선생님,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/gyo_jang_seon_saeng_nim_.png,학교,명사,2,0,0,0
교장실,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/gyo_jang_sil_.png,학교,명사,2,0,0,0
교탁,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/gyo_tag_001_.png,학교,명사,2,0,0,0
교탁,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/gyo_tag_002_.png,학교,명사,2,0,0,0
국어,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/gug_eo_1.png,학교,명사,1,0,0,0
급식,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/geub_sig_.png,학교,명사,1,0,0,0
나가고싶어요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/na_ga_go_sip_eo_yo_.png,학교,동사,0,에,0,0
너무슨일있어,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/neo_mu_seun_il_iss_eo_.png,학교,동사,0,0,0,0
