text,image,카테고리_주제,카테고리_품사,필요토큰,필요성분
숙모,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/sug_mo_.png,집,명사,0,0
시아버지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/si_a_beo_ji_001_.png,집,0,0,0
시아버지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/si_a_beo_ji_002_.png,집,0,0,0
시아버지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/si_a_beo_ji_003_.png,집,0,0,0
시아버지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/si_a_beo_ji_004_.png,집,0,0,0
시어머니,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/si_eo_meo_ni_001_.png,집,0,0,0
시어머니,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/si_eo_meo_ni_002_.png,집,0,0,0
시어머니,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/si_eo_meo_ni_003_.png,집,0,0,0
시어머니,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/si_eo_meo_ni_004_.png,집,0,0,0
아가,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/a_ga_201_.png,집,명사,0,0
아기가-태어났어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/a_gi_ga_tae_eo_nass_eo_yo_.png,집,0,0,0
아내,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/a_nae_001_.png,집,명사,0,0
아내,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/a_nae_002_.png,집,명사,0,0
아내,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/a_nae_003_.png,집,명사,0,0
아내,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/a_nae_004_.png,집,명사,0,0
아내,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/a_nae_201_.png,집,명사,0,0
아들,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/a_deul_001_.png,집,명사,0,0
아들,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/a_deul_002_.png,집,명사,0,0
아들,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/a_deul_003_.png,집,명사,0,0
아들,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/a_deul_004_.png,집,명사,0,0
아들,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/a_deul_201_.png,집,명사,0,0
아빠-닮았어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/a_bba_dalm_ass_eo_yo_.png,집,0,0,0
언니,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/eon_ni_001_.png,집,명사,0,0
언니,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/eon_ni_002_.png,집,명사,0,0
엄마-닮았어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/eom_ma_dalm_ass_eo_yo_.png,집,0,0,0
여동생,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/yeo_dong_saeng_001_.png,집,0,0,0
여동생,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/yeo_dong_saeng_002_.png,집,0,0,0
여동생,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/yeo_dong_saeng_003_.png,집,0,0,0
여동생,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/yeo_dong_saeng_004_.png,집,0,0,0
오빠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/o_bba_001_.png,집,명사,0,0
오빠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/o_bba_002_.png,집,명사,0,0
오빠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/o_bba_201_.png,집,명사,0,0
외동딸,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_dong_ddal_001_.png,집,0,0,0
외동딸,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_dong_ddal_002_.png,집,0,0,0
외동딸,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_dong_ddal_003_.png,집,0,0,0
외동딸,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_dong_ddal_004_.png,집,0,0,0
외동아들,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_dong_a_deul_001_.png,집,0,0,0
