text,image,카테고리_주제,카테고리_품사
셔츠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/syeo_ceu_.png,집,명사
속옷,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/sog_os_.png,집,명사
손수건,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/son_su_geon_.png,집,명사
수영복,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/su_yeong_bog_201_.png,집,명사
스웨터,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/seu_we_teo_.png,집,명사
슬리퍼,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/seul_ri_peo_201_.png,집,명사
신발,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/sin_bal_001_.png,집,명사
신발,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/sin_bal_002_.png,집,명사
신발,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/sin_bal_201_.png,집,명사
양말,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/yang_mal_.png,집,명사
양말,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/yang_mal_201_.png,집,명사
양복,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/yang_bog_.png,집,명사
옷,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/os_001_.png,집,명사
옷,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/os_002_.png,집,명사
옷,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/os_201_.png,집,명사
옷걸이,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/os_geol_i_.png,집,명사
옷걸이,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/os_geol_i_201_.png,집,명사
외투,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/oe_tu_201_.png,집,명사
우비,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/u_bi_.png,집,명사
원피스,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/weon_pi_seu_001_.png,집,명사
원피스,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/weon_pi_seu_002_.png,집,명사
위에,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/wi_e_.png,집,명사
잠바,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/jam_ba_001_.png,집,명사
